m,MSE,Sparsity,Min_SVD,Max_SVD
100,0.05279440954322366,10,0.6310319138916003,198.02169724831742
200,0.019647859025655832,10,31.354195961849527,168.97014210580377
300,0.015693694626473926,10,42.51795474064584,157.43971891485057
400,0.012675874757024676,10,51.94494000104921,149.30025914348457
500,0.012337091909949046,10,54.96157752848788,145.00985126342582
600,0.011996193170130528,10,60.265466386485194,140.97687759604523
700,0.01136261492135401,10,61.57360885875406,139.76501884221207
800,0.011055815266567284,10,64.80399441919764,137.55924192177142
900,0.011113823138706803,10,65.85650310697905,132.72928821289892
1000,0.010968540073235626,10,67.30335947685813,131.65366667265246
1100,0.010847873203944024,10,70.55824849205877,131.7282794114833
1200,0.010653992102803241,10,70.00059166701234,130.82785680271814
1300,0.010733944787777915,10,70.62855020066905,129.4446407532529
1400,0.010464745920125645,10,73.03632935771164,127.21619595527
1500,0.01062818187943174,10,74.50559948394799,127.8219729786962
1600,0.01071644075638567,10,74.48685961826713,126.57223095564804
1700,0.010766475058021249,10,75.15239331857437,124.75375753424431
1800,0.010541296664627666,10,76.66291312803594,124.87315277813394
1900,0.010450026145007051,10,75.16008429380442,124.10131567384337
2000,0.010483927629742956,10,76.96613949210055,124.83518979585179
2100,0.010383203081556129,10,77.49661462406294,124.14002339286947
2200,0.010498506423232589,10,77.9650812065837,123.40900634561365
2300,0.01028003499301213,10,78.23189614066412,123.11570091955753
2400,0.01030009123305178,10,78.14867996266864,121.95517628165943
2500,0.010361055732084817,10,78.98966340471121,122.347615544581
2600,0.010329220607640046,10,79.5084359025327,121.27580852423898
2700,0.01031056506069259,10,79.499480779236,121.54024660487507
2800,0.010396333885579066,10,79.36906704732502,120.57371473324095
2900,0.01021145581135162,10,80.1320413221984,120.20188701803869
3000,0.010275962716167956,10,79.94260603532346,120.75418154846739
3100,0.010268999549272859,10,80.76466166076486,119.1942657092799
3200,0.01017327849246092,10,80.7387248336125,120.11171235968358
3300,0.010263125475898884,10,80.6888243618463,119.81623901027714
3400,0.010171161440360055,10,81.5566922700584,119.94371445607193
3500,0.010212266599877342,10,80.87335966736484,118.89719206494212
3600,0.010101113296119653,10,81.3880670383108,118.6304573244628
3700,0.010159041423848441,10,81.44028406454811,118.69829372994491
3800,0.010147080046787358,10,82.2817792055551,119.61476964013666
3900,0.01013928284428851,10,80.97399903116816,118.10457081973982
4000,0.010121713118897417,10,81.64221054617941,119.05813078332028
4100,0.010181476436072803,10,82.28606927010713,119.20218451122668
4200,0.010210639982438962,10,81.44081927486943,119.25374911476501
4300,0.010184356598619175,10,82.12736860400605,118.41631779486411
4400,0.010091325962845015,10,83.22572439759419,118.12232415325803
4500,0.010100027254978269,10,83.22562003630394,118.61053655186718
4600,0.010110175620014228,10,83.20028048332918,117.59097584261595
4700,0.010123094689013911,10,83.88804317147022,116.91506853605766
4800,0.01009876173324642,10,83.84998462315733,117.46397105687153
4900,0.010098126430317463,10,84.31084083502171,117.5176856634633
5000,0.010079046478543203,10,83.14147802830037,117.16530483244205
5100,0.010138779625176175,10,83.24888693448473,116.6929845675209
5200,0.010091278013599707,10,83.49795948675013,117.16452104169014
5300,0.010062967418893233,10,84.69774733150236,116.49857837409684
5400,0.01009701705160906,10,84.38032082080058,116.60450162127653
5500,0.010078160876411956,10,84.4508967662089,115.88116660735882
5600,0.010101005343271787,10,84.19604610781838,116.31875765858965
5700,0.010027141346306627,10,84.21409229981687,116.73147644636855
5800,0.010079957047880358,10,84.78249750768943,116.15712476606876
5900,0.010073358991330487,10,84.33626179458976,115.85842386167256
6000,0.010068656609008204,10,83.53612525667492,115.4803443825764
6100,0.010057795903298859,10,84.50178983804392,116.16045706937858
6200,0.010085493127186217,10,84.9167755560467,115.38259178912546
6300,0.01005204802651303,10,84.08803047140458,116.47172249458013
6400,0.010025401865799888,10,84.71472681765437,115.02353080898628
6500,0.010056926235409281,10,85.11314052566145,116.61809195783235
6600,0.010057722480889264,10,85.01327436239158,115.16695927065273
6700,0.01004394650258472,10,85.22675265818758,115.38734824068733
6800,0.010031044104516558,10,84.07914149565421,115.69549588177453
6900,0.01006648182818048,10,84.68144802589039,115.0473395462112
7000,0.010045616676932117,10,85.23787958767224,115.96506004840117
7100,0.01002526768127229,10,85.32199093691358,115.60612964741864
7200,0.010027540226897535,10,85.07498501968149,116.47211455158231
7300,0.01004896600921867,10,85.19406583608443,115.85773571497585
7400,0.010022400911373549,10,85.27280413404753,115.52848657885083
7500,0.010029136883603521,10,84.54585257540462,114.96598024885517
7600,0.010015907136560108,10,85.64058819611128,115.0522501008057
7700,0.010005516145434093,10,85.66102379676641,115.09341692139974
7800,0.010015551588414214,10,85.38316035278129,115.54732597216474
7900,0.010006074520318734,10,86.63692378674608,114.78900073309153
8000,0.010018002835198209,10,85.48075437886511,114.3864672515872
8100,0.010039357378522577,10,86.40975367022914,115.2537031782237
8200,0.010004570591815077,10,86.41869085781848,115.03624287066657
8300,0.010008090939840607,10,85.9373022125933,114.99539374695827
8400,0.010009119669979983,10,86.13114882380987,114.63398781717902
8500,0.010028198215486861,10,86.1175184756265,114.50548198749622
8600,0.010007651236799097,10,86.34901208988636,114.82067549837947
8700,0.01002757366456034,10,86.00599512973331,115.64992939400304
8800,0.00999480867655621,10,86.12532673093908,115.05136966187786
8900,0.010031456102370825,10,85.73350486420995,114.31629700372837
9000,0.009996845533096054,10,86.12703179121131,113.59207401508169
9100,0.01001789092072245,10,86.5467776936857,115.53892956184038
9200,0.010022522250115866,10,86.36618510081142,114.26169807359582
9300,0.00998329919622002,10,86.21613016369251,114.16972041471386
9400,0.009994533156884635,10,86.65711640868986,113.87784017053724
9500,0.009985220763716609,10,86.3701204836896,114.28656217788897
9600,0.010017321914512805,10,86.26618057615391,114.1558961722315
9700,0.010024101696159395,10,85.96099071674756,113.90723055590671
9800,0.010008982116001831,10,85.97140707990991,113.74648208188565
9900,0.010002714333889438,10,86.2293747948794,113.78828254940873
10000,0.009992022608057679,10,86.40021579856675,114.58045666641512
